scenario,duration(s),folder
22,75,21-05-22_12-29-03
23,48,21-05-22_12-29-03
24,40,21-05-22_12-29-03
25,134,21-05-22_12-29-03
26,91,21-05-22_12-29-03
27,175,21-05-22_12-29-03
28,75,21-05-22_12-29-03
29,40,21-05-22_12-29-03
30,221,21-05-22_12-29-03
31,247,21-05-22_12-29-03
32,64,21-05-22_12-29-03
33,40,21-05-22_12-29-03
34,94,21-05-22_12-29-03
35,99,21-05-22_12-29-03
1,40,30-07-22_18-59-13
2,40,30-07-22_18-59-13
3,89,30-07-22_18-59-13
4,41,30-07-22_18-59-13
5,40,30-07-22_18-59-13
6,58,30-07-22_18-59-13
7,50,30-07-22_18-59-13
8,40,30-07-22_18-59-13
9,100,30-07-22_18-59-13
1,40,22-06-22_20-24-38
2,40,22-06-22_20-24-38
3,41,22-06-22_20-24-38
4,97,22-06-22_20-24-38
5,56,22-06-22_20-24-38
6,55,22-06-22_20-24-38
7,56,22-06-22_20-24-38
8,88,22-06-22_20-24-38
9,54,22-06-22_20-24-38
10,40,22-06-22_20-24-38
11,55,22-06-22_20-24-38
12,52,22-06-22_20-24-38
13,41,22-06-22_20-24-38
14,95,22-06-22_20-24-38
15,41,22-06-22_20-24-38
16,40,22-06-22_20-24-38
17,45,22-06-22_20-24-38
18,66,22-06-22_20-24-38
19,41,22-06-22_20-24-38
20,40,22-06-22_20-24-38
21,171,22-06-22_20-24-38
22,40,22-06-22_20-24-38
23,202,22-06-22_20-24-38
24,176,22-06-22_20-24-38
25,41,22-06-22_20-24-38
26,82,22-06-22_20-24-38
27,53,22-06-22_20-24-38
28,60,22-06-22_20-24-38
29,91,22-06-22_20-24-38
30,83,22-06-22_20-24-38
31,40,22-06-22_20-24-38
32,41,22-06-22_20-24-38
33,40,22-06-22_20-24-38
34,69,22-06-22_20-24-38
35,40,22-06-22_20-24-38
36,78,22-06-22_20-24-38
37,40,22-06-22_20-24-38
38,40,22-06-22_20-24-38
1,84,31-07-22_16-43-21
2,40,31-07-22_16-43-21
3,41,31-07-22_16-43-21
4,60,31-07-22_16-43-21
1,148,06-08-22_11-40-28
2,126,06-08-22_11-40-28
3,161,06-08-22_11-40-28
4,100,06-08-22_11-40-28
5,41,06-08-22_11-40-28
6,88,06-08-22_11-40-28
7,63,06-08-22_11-40-28
8,56,06-08-22_11-40-28
9,216,06-08-22_11-40-28
10,66,06-08-22_11-40-28
11,124,06-08-22_11-40-28
12,105,06-08-22_11-40-28
13,87,06-08-22_11-40-28
14,43,06-08-22_11-40-28
15,212,06-08-22_11-40-28
16,94,06-08-22_11-40-28
17,203,06-08-22_11-40-28
18,68,06-08-22_11-40-28
19,90,06-08-22_11-40-28
20,134,06-08-22_11-40-28
21,107,06-08-22_11-40-28
22,46,06-08-22_11-40-28
23,63,06-08-22_11-40-28
24,40,06-08-22_11-40-28
25,40,06-08-22_11-40-28
26,42,06-08-22_11-40-28
27,43,06-08-22_11-40-28
28,64,06-08-22_11-40-28
29,52,06-08-22_11-40-28
30,68,06-08-22_11-40-28
31,78,06-08-22_11-40-28
32,96,06-08-22_11-40-28
33,45,06-08-22_11-40-28
34,192,06-08-22_11-40-28
35,75,06-08-22_11-40-28
36,182,06-08-22_11-40-28
37,42,06-08-22_11-40-28
38,41,06-08-22_11-40-28
39,63,06-08-22_11-40-28
40,78,06-08-22_11-40-28
1,40,20-06-22_22-31-04
2,41,20-06-22_22-31-04
3,70,20-06-22_22-31-04
4,40,20-06-22_22-31-04
5,90,20-06-22_22-31-04
6,43,20-06-22_22-31-04
7,41,20-06-22_22-31-04
8,79,20-06-22_22-31-04
9,40,20-06-22_22-31-04
10,41,20-06-22_22-31-04
11,42,20-06-22_22-31-04
1,78,20-08-22_16-45-39
2,43,20-08-22_16-45-39
3,91,20-08-22_16-45-39
4,40,20-08-22_16-45-39
5,43,20-08-22_16-45-39
6,41,20-08-22_16-45-39
7,40,20-08-22_16-45-39
8,41,20-08-22_16-45-39
9,76,20-08-22_16-45-39
10,64,20-08-22_16-45-39
11,99,20-08-22_16-45-39
12,40,20-08-22_16-45-39
13,78,20-08-22_16-45-39
14,83,20-08-22_16-45-39
15,42,20-08-22_16-45-39
16,40,20-08-22_16-45-39
17,41,20-08-22_16-45-39
18,101,20-08-22_16-45-39
19,43,20-08-22_16-45-39
