
20-07-22_16-53-09,46,47.29,10.0,46,0,67,97,99,96,96,97,97
01-08-22_11-01-10,72,71.71,9.56,72,7,102,99,99,99,99,99,99
11-05-22_17-57-44,2,1.62,9.99,2,0,2,100,100,100,100,100,100
14-05-22_19-57-37,55,54.56,10.0,55,0,78,99,99,99,99,99,100
11-05-22_21-08-01,60,37.81,9.82,61,2,86,160,152,139,153,151,145
20-07-22_18-08-23,81,80.99,9.88,82,1,122,99,99,99,99,99,99
18-08-22_17-39-36,62,63.36,9.84,64,1,99,100,100,100,100,100,100
20-07-22_16-53-09,46,47.29,10.0,46,0,67,97,99,96,96,97,97
01-08-22_11-01-10,72,71.71,9.56,72,7,102,99,99,99,99,99,99
11-05-22_17-57-44,2,1.62,9.99,2,0,2,100,100,100,100,100,100
14-05-22_19-57-37,55,54.56,10.0,55,0,78,99,99,99,99,99,100
15-05-22_19-01-19,44,44.2,9.79,47,1,64,105,105,105,105,105,105
11-05-22_21-08-01,60,37.81,9.82,61,2,86,160,152,139,153,151,145
20-07-22_18-08-23,81,80.99,9.88,82,1,122,99,99,99,99,99,99
18-08-22_17-39-36,62,63.36,9.84,64,1,99,100,100,100,100,100,100
20-07-22_16-53-09,46,47.29,10.0,46,0,67,97,99,96,96,97,97
01-08-22_11-01-10,72,71.71,9.56,72,7,102,99,99,99,99,99,99
11-05-22_17-57-44,2,1.62,9.99,2,0,2,100,100,100,100,100,100
14-05-22_19-57-37,55,54.56,10.0,55,0,78,99,99,99,99,99,100
15-05-22_19-01-19,44,44.2,9.79,47,1,64,105,105,105,105,105,105
15-05-22_21-24-28,73,72.89,10.0,73,0,104,99,99,99,99,99,99
11-05-22_21-08-01,60,37.81,9.82,61,2,86,160,152,139,153,151,145
20-07-22_18-08-23,81,80.99,9.88,82,1,122,99,99,99,99,99,99
18-08-22_17-39-36,62,63.36,9.84,64,1,99,100,100,100,100,100,100
20-07-22_16-53-09,46,47.29,10.0,46,0,67,97,99,96,96,97,97
01-08-22_11-01-10,72,71.71,9.56,72,7,102,99,99,99,99,99,99
11-05-22_17-57-44,2,1.62,9.99,2,0,2,100,100,100,100,100,100
14-05-22_19-57-37,55,54.56,10.0,55,0,78,99,99,99,99,99,100
15-05-22_19-01-19,44,44.2,9.79,47,1,64,105,105,105,105,105,105
15-05-22_21-24-28,73,72.89,10.0,73,0,104,99,99,99,99,99,99
01-08-22_09-55-56,65,65.11,10.0,66,0,104,100,100,100,100,100,100
11-05-22_21-08-01,60,37.81,9.82,61,2,86,160,152,139,153,151,145
20-07-22_18-08-23,81,80.99,9.88,82,1,122,99,99,99,99,99,99
18-08-22_17-39-36,62,63.36,9.84,64,1,99,100,100,100,100,100,100
20-07-22_16-53-09,46,47.29,10.0,46,0,67,97,99,96,96,97,97
01-08-22_11-01-10,72,71.71,9.56,72,7,102,99,99,99,99,99,99
11-05-22_17-57-44,2,1.62,9.99,2,0,2,100,100,100,100,100,100
14-05-22_19-57-37,55,54.56,10.0,55,0,78,99,99,99,99,99,100
15-05-22_19-01-19,44,44.2,9.79,47,1,64,105,105,105,105,105,105
15-05-22_21-24-28,73,72.89,10.0,73,0,104,99,99,99,99,99,99
01-08-22_09-55-56,65,65.11,10.0,66,0,104,100,100,100,100,100,100
04-08-22_18-14-39,9,8.78,10.0,9,0,12,99,99,99,99,106,99
11-05-22_21-08-01,60,37.81,9.82,61,2,86,160,152,139,153,151,145
20-07-22_18-08-23,81,80.99,9.88,82,1,122,99,99,99,99,99,99
18-08-22_17-39-36,62,63.36,9.84,64,1,99,100,100,100,100,100,100
20-07-22_16-53-09,46,47.29,10.0,46,0,67,97,99,96,96,97,97
01-08-22_11-01-10,72,71.71,9.56,72,7,102,99,99,99,99,99,99
11-05-22_17-57-44,2,1.62,9.99,2,0,2,100,100,100,100,100,100
14-05-22_19-57-37,55,54.56,10.0,55,0,78,99,99,99,99,99,100
15-05-22_19-01-19,44,44.2,9.79,47,1,64,105,105,105,105,105,105
15-05-22_21-24-28,73,72.89,10.0,73,0,104,99,99,99,99,99,99
01-08-22_09-55-56,65,65.11,10.0,66,0,104,100,100,100,100,100,100
04-08-22_18-14-39,9,8.78,10.0,9,0,12,99,99,99,99,106,99
18-05-22_08-49-34,80,80.2,10.0,81,0,114,99,99,99,99,99,99
11-05-22_21-08-01,60,37.81,9.82,61,2,86,160,152,139,153,151,145
20-07-22_18-08-23,81,80.99,9.88,82,1,122,99,99,99,99,99,99
18-08-22_17-39-36,62,63.36,9.84,64,1,99,100,100,100,100,100,100
20-07-22_16-53-09,46,47.29,10.0,46,0,67,97,99,96,96,97,97
01-08-22_11-01-10,72,71.71,9.56,72,7,102,99,99,99,99,99,99
11-05-22_17-57-44,2,1.62,9.99,2,0,2,100,100,100,100,100,100
14-05-22_19-57-37,55,54.56,10.0,55,0,78,99,99,99,99,99,100
15-05-22_19-01-19,44,44.2,9.79,47,1,64,105,105,105,105,105,105
15-05-22_21-24-28,73,72.89,10.0,73,0,104,99,99,99,99,99,99
01-08-22_09-55-56,65,65.11,10.0,66,0,104,100,100,100,100,100,100
04-08-22_18-14-39,9,8.78,10.0,9,0,12,99,99,99,99,106,99
18-05-22_08-49-34,80,80.2,10.0,81,0,114,99,99,99,99,99,99
20-08-22_14-38-27,63,66.05,10.0,64,0,96,99,99,99,98,98,96
11-05-22_21-08-01,60,37.81,9.82,61,2,86,160,152,139,153,151,145
20-07-22_18-08-23,81,80.99,9.88,82,1,122,99,99,99,99,99,99
18-08-22_17-39-36,62,63.36,9.84,64,1,99,100,100,100,100,100,100
20-07-22_16-53-09,46,47.29,10.0,46,0,67,97,99,96,96,97,97
01-08-22_11-01-10,72,71.71,9.56,72,7,102,99,99,99,99,99,99
11-05-22_17-57-44,2,1.62,9.99,2,0,2,100,100,100,100,100,100
14-05-22_19-57-37,55,54.56,10.0,55,0,78,99,99,99,99,99,100
